condition,prompt_id,prompt,reward_model,n,p_bar,H_bits,Srel,Iacc
imagereward,parti_00233,the Great Wall,hpsv2,4.0,0.36519850852375857,0.946913907596153,0.008280002152591209,0.9356142218639323
imagereward,parti_00233,the Great Wall,imagereward,4.0,0.3279977124366049,0.9128675519314099,0.027214590218675477,0.9095255008714337
imagereward,parti_00233,the Great Wall,pickscore,4.0,0.24578686632916247,0.80453191782622,0.006885009148369853,0.7930139383828577
imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",hpsv2,4.0,0.5147916833073896,0.999368602149078,0.004083700361104919,0.9754814086148558
imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",imagereward,4.0,0.5521946781079337,0.9921250377697767,0.005259900364560439,0.9736148982095398
imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",pickscore,4.0,0.39852156341228284,0.9700791921848965,0.0009309477329608501,0.8759833266846291
imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",hpsv2,4.0,0.4470522919477997,0.9918957384448857,0.0017762058784189458,0.9390286330885831
imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",imagereward,4.0,0.6491685999332144,0.9348083752231909,0.013015419679946898,0.9276808230896325
imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",pickscore,4.0,0.35899149132954783,0.9418428657642463,0.0008609648775168282,0.8438327420021785
imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",hpsv2,4.0,0.6247532982498802,0.9546156263260177,0.006212301077153532,0.9394925259754797
imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",imagereward,4.0,0.5614597876994633,0.9890733870314821,0.0531369299329944,0.9872155162108386
imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",pickscore,4.0,0.6252272065748706,0.9542664006015464,0.008072071698858117,0.9425892343239319
imagereward,parti_00555,the Taj Mahal at sunrise,hpsv2,4.0,0.4190735103411339,0.9810199201909311,0.046460887241392676,0.9789129587941156
imagereward,parti_00555,the Taj Mahal at sunrise,imagereward,4.0,0.4466208522209285,0.9917628729026613,0.03870379256819234,0.989207032848729
imagereward,parti_00555,the Taj Mahal at sunrise,pickscore,4.0,0.3624004895480935,0.9446577520109362,0.05812748081974323,0.9430353947687684
imagereward,parti_00674,an elder politician giving a campaign speech,hpsv2,4.0,0.37581090646615106,0.9550295898394017,0.008731365166764213,0.9442155246093337
imagereward,parti_00674,an elder politician giving a campaign speech,imagereward,4.0,0.40864116764143166,0.9757814501377089,0.01032567866399822,0.9664220455216118
imagereward,parti_00674,an elder politician giving a campaign speech,pickscore,4.0,0.43535384944098027,0.9879077724092072,0.012710720446371395,0.9801962016466977
